codEstacao;municipio;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 05:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 06:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 07:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 08:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 09:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 00:30:00;1,5707200000000001;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 10:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 11:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 02:20:00;0,5890200000000001;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 12:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 00:40:00;0,7853600000000001;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 00:50:00;0,9817;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 13:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 14:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 18:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 15:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 01:00:00;1,9650911487758946;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 01:10:00;1,768253333806113;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 19:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 18:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 19:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 20:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 20:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 22:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;25/01/2015 23:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 00:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 01:20:00;0,9817;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 20:40:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 20:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 20:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 20:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 20:50:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 01:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;26/01/2015 02:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 01:30:00;0,5890200000000001;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 01:40:00;0,39268000000000003;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 02:30:00;0,39268000000000003;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 02:40:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 02:50:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 03:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 04:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 05:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 05:30:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 05:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 05:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 05:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 05:50:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 06:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 07:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 08:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 09:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 10:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 11:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 12:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 13:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 14:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 15:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 16:20:00;0,5890200000000001;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 16:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 16:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 17:30:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 17:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 17:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 17:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 18:00:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 17:50:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 18:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 19:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 19:50:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 19:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 19:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 19:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 19:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 20:00:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 20:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 20:20:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 20:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 20:50:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 20:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 21:10:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 22:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;27/01/2015 23:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 00:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 01:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 02:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 03:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 04:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 05:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 06:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 08:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 09:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 07:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 10:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 11:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 12:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 13:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 14:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 15:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 18:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 19:00:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 18:50:00;0,39268000000000003;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 18:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 18:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 18:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 18:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 19:10:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 19:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 19:40:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 19:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 19:50:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 20:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 22:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 23:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 23:20:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 23:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 23:30:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 00:00:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 23:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;28/01/2015 23:50:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 00:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 01:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 02:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 03:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 04:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 05:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 06:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 07:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 08:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 09:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 10:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 11:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 12:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 13:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 14:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 15:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 18:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 19:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 20:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 22:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 22:30:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 22:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 22:20:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 22:40:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 22:50:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;29/01/2015 23:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 00:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 01:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 01:20:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 01:30:00;0,2;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 01:10:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 02:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 03:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 04:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 05:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 06:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 07:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 08:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 09:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 10:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 11:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 12:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 13:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 14:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 15:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 18:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 19:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 20:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 22:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;30/01/2015 23:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 00:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 01:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 02:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 03:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 04:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 05:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 06:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 07:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 08:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 09:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 10:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 11:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 12:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 13:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 14:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 15:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 16:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 17:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 18:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 19:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 20:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 21:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 22:00:00;0,0;
310900603A;BRUMADINHO;MG;Distrito Casa Branca;-44,047;-20,094;31/01/2015 23:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 01:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 00:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 12:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 13:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 14:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 02:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 03:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 04:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 05:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 06:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 15:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 07:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 08:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 09:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 10:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 11:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 21:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 22:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 23:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 00:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 01:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 16:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 17:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 18:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 19:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;01/01/2015 20:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 02:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 03:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 04:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 05:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 06:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 07:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 08:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 12:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 09:00:00;0,0;
310900604A;BRUMADINHO;MG;Rua Prefeito Maciel;-44,023;-20,165;02/01/2015 10:00:00;0,0;
